"No.","Time","Source","Destination","Protocol","Length","Info"
"4848","41.116238","2404:6800:4009:80f::2005","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1026","[TCP Previous segment not captured] , Application Data"
"4881","41.157896","2404:6800:4009:80f::2005","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Application Data"
"4885","41.158088","2404:6800:4009:80f::2005","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","351","[TCP Previous segment not captured] , Application Data"
"4891","41.183233","2404:6800:4009:80f::2005","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1256","[TCP Previous segment not captured] , Application Data"
"4901","41.183632","2404:6800:4009:80f::2005","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","225","[TCP Previous segment not captured] , Application Data"
"4905","41.190170","2404:6800:4009:80f::2005","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Application Data"
"4917","41.198785","2404:6800:4009:80f::2005","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Application Data"
"4921","41.199041","2404:6800:4009:80f::2005","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1154","[TCP Previous segment not captured] , Application Data"
"4934","41.215827","2404:6800:4009:80f::2005","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Application Data"
"4938","41.232614","2404:6800:4009:80f::2005","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","760","[TCP Previous segment not captured] , Application Data"
"4948","41.233207","2404:6800:4009:81e::200e","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Application Data"
"4965","41.249153","2404:6800:4009:80f::2005","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","212","[TCP Previous segment not captured] , Application Data"
"4986","41.280668","2404:6800:4009:80f::2005","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","626","[TCP Previous segment not captured] , Application Data"
"4992","41.281811","2404:6800:4009:80f::2005","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","425","[TCP Previous segment not captured] , Application Data"
"5019","41.315592","2404:6800:4009:81e::200e","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1075","[TCP Spurious Retransmission] 443  >  13299 [PSH, ACK] Seq=39735 Ack=4973 Win=264960 Len=1001"
